SPOTEQ Session Log
File: log_20260615_143052_F4A2C0D1.kslog
Size: 49.5 KB
Format: binary kslog v1
session: F4A2C0D1-3B7E-4A9C-9E21-5C8D0E6F1A22
date: 20260615_143052
mode: Standard
devMode: false
sampleRate: 50 Hz
minSpeed(m/s): 4.17
takeoffG(g): 1.50
landingG(g): 2.00
minAirtime(s): 0.50
maxAirtime(s): 8.00
cooldown(s): 1.50

CSV preview decoded from binary:
idx,t,ax,ay,az,aM,gx,gy,gz,gM,gvX,gvY,gvZ,baro,baseBaro,spd,lowG,state,evt
31,0.580,-0.048,-0.000,1.036,1.037,0.138,-0.015,-0.036,0.144,0.013,-0.024,-1.000,1013.25,1013.25,0.87,0,idle,
32,0.600,-0.048,-0.047,0.970,0.972,0.096,0.154,0.054,0.189,0.025,-0.032,-0.999,1013.25,1013.25,0.90,0,idle,
33,0.620,0.019,-0.025,0.995,0.996,0.115,-0.059,-0.010,0.129,0.023,-0.038,-0.999,1013.26,1013.25,0.93,0,idle,
34,0.640,0.033,-0.016,1.002,1.003,-0.107,-0.172,0.043,0.208,0.014,-0.029,-0.999,1013.24,1013.25,0.96,0,idle,
35,0.660,0.035,0.011,0.965,0.966,0.132,0.161,0.044,0.213,0.014,-0.023,-1.000,1013.26,1013.25,0.99,0,idle,
36,0.680,0.022,-0.042,0.996,0.997,-0.062,0.146,-0.085,0.180,0.017,-0.023,-1.000,1013.26,1013.25,1.02,0,idle,
37,0.700,0.036,-0.009,0.950,0.951,0.168,0.044,-0.093,0.197,0.028,-0.021,-0.999,1013.26,1013.25,1.05,0,idle,
38,0.720,-0.026,0.034,0.954,0.955,0.104,0.025,0.051,0.118,0.029,-0.031,-0.999,1013.25,1013.25,1.08,0,idle,
39,0.740,0.007,0.028,1.012,1.012,0.165,0.045,0.079,0.189,0.026,-0.030,-0.999,1013.24,1013.25,1.11,0,idle,
40,0.760,-0.008,-0.007,0.950,0.950,0.015,0.018,0.070,0.074,0.027,-0.022,-0.999,1013.24,1013.25,1.14,0,idle,
... (1049 more rows — full data in the .kslog file)

Event rows in this session:
1,0.000,,,,,,,,,,,,,,0.00,,idle,JumpDetector(v7) reset — Standard minSpd=15km/h tkoff=1.5g land=2.0g air=0.5-8.0s cd=1.5s
152,3.000,,,,,,,,,,,,,,4.60,,riding,IDLE→RIDING (spd=16.6km/h)
404,8.020,0.600,0.300,2.000,2.110,2.400,1.100,0.600,2.707,0.023,-0.021,-1.000,1013.25,1013.25,8.60,1,riding,takeoff spike aM=2.18g
406,8.060,,,,,,,,,,,,,,8.60,,airborne,RIDING→AIRBORNE (lowG×3)
478,9.480,0.900,0.500,2.600,2.796,1.200,0.400,0.200,1.281,0.016,-0.034,-0.999,1013.23,1013.25,8.00,0,airborne,landing impact
479,9.500,,,,,,,,,,,,,,8.00,,cooldown,JUMP #1 ACCEPTED air=1.40s h=1.30m rot=0 dist=9.4m conf=74.0 src=kinematic
556,11.020,,,,,,,,,,,,,,8.20,,riding,COOLDOWN→RIDING
758,15.040,0.600,0.300,2.000,2.110,2.400,1.100,0.600,2.707,0.016,-0.026,-1.000,1013.25,1013.25,8.60,1,riding,takeoff spike aM=2.18g
760,15.080,,,,,,,,,,,,,,8.60,,airborne,RIDING→AIRBORNE (lowG×3)
858,17.020,0.900,0.500,2.900,3.077,1.200,0.400,0.200,1.281,0.025,-0.028,-0.999,1013.23,1013.25,8.00,0,airborne,landing impact
859,17.040,,,,,,,,,,,,,,8.00,,cooldown,JUMP #2 ACCEPTED air=1.90s h=3.50m rot=1 dist=18.7m conf=88.0 src=kinematic
936,18.560,,,,,,,,,,,,,,8.20,,riding,COOLDOWN→RIDING
1088,21.580,,,,,,,,,,,,,,1.20,,idle,RIDING→IDLE (spd<minSpeed)
1089,21.580,,,,,,,,,,,,,,0.00,,idle,session stopped (2 jumps; 1088 records)
