# Jump comparison — session 2026-07-28
# Watch session (ours): log_20260728_182822_05D47F19.kslog, engine v15-clean, session start local = 2026-07-28 18:28:22 +03:00, duration = 3175.8s (~52.9 min)
# App jumps below are the LIVE on-device "JUMP(v15) FINAL" events actually written into the log during the session (58 of them) — NOT the offline JumpReplay recompute, which only found 36 for this same file (known live-vs-offline detector blindspot, see memory). Takeoff time = event_log_time - latency - airtime.
# Reference jumps: read from WhatsApp screenshots in logs_2807/ (GPS tracker app "Analysis" screen). Times are session-relative mm:ss FROM THE REFERENCE APP'S OWN SESSION START, which is not shown in the screenshots — do not assume it equals 18:28:22 without checking.
# NOTE: this file only lists both sides side by side for manual cross-referencing. No matching/alignment between the two lists has been attempted yet.

## SECTION 1: Reference jumps (from photos) — 14 jumps
ref_index,run,session_time_mmss,session_time_sec,direction,height_m,airtime_s,max_air_speed_mph,takeoff_speed_mph,distance_m
37,25:10.48,1510.48,18:53:32,4.65,3.30,apexFit,4.60,90,1.22
38,25:22.23,1522.23,18:53:44,1.88,1.05,apexFit,4.15,90,0.88
39,25:29.69,1529.69,18:53:51,4.73,2.05,ballistic,4.26,50,1.35
40,25:40.21,1540.21,18:54:02,3.25,8.74,apexFit,1.77,90,0.84
41,26:00.53,1560.53,18:54:22,4.87,4.42,apexFit,3.27,90,1.19
42,32:27.34,1947.34,19:00:49,5.49,2.30,ballistic,3.63,50,1.75
43,32:55.86,1975.86,19:01:17,1.39,3.17,apexFit,0.97,90,0.35
44,35:00.09,2100.09,19:03:22,5.72,3.96,apexFit,4.89,90,1.40
45,36:51.58,2211.58,19:05:13,4.94,3.88,apexFit,1.67,90,1.44
46,37:19.18,2239.18,19:05:41,2.18,1.52,ballistic,2.46,50,0.52
47,37:30.70,2250.70,19:05:52,5.00,1.67,ballistic,1.33,50,0.74
48,40:08.14,2408.14,19:08:30,1.91,2.06,apexFit,0.94,90,0.45
49,40:52.66,2452.66,19:09:14,4.42,5.95,apexFit,5.47,90,1.03
50,42:03.36,2523.36,19:10:25,4.79,7.29,apexFit,4.66,90,1.19
51,42:43.58,2563.58,19:11:05,5.50,1.79,ballistic,3.69,50,0.94
52,42:57.12,2577.12,19:11:19,1.67,1.50,ballistic,0.73,50,0.48
53,43:24.44,2604.44,19:11:46,2.52,1.74,ballistic,2.09,50,0.86
54,43:32.19,2612.19,19:11:54,4.47,4.56,apexFit,3.21,90,0.82
55,44:08.21,2648.21,19:12:30,4.81,2.64,ballistic,5.30,50,2.29
56,44:58.81,2698.81,19:13:20,2.17,1.62,ballistic,4.43,50,0.66
57,52:03.43,3123.43,19:20:25,3.21,1.07,relativeParabola,1.91,65,0.62
