# iSurf Session Log
# session: synth001
# date: 20260602_165920
# mode: Standard
# devMode: false
# sampleRate: 50 Hz
# --- 6 Parameters ---
# minSpeed(m/s): 4.17
# takeoffG(g): 1.50
# landingG(g): 2.00
# minAirtime(s): 0.50
# maxAirtime(s): 8.00
# cooldown(s): 1.50
# --- Columns ---
# ax/ay/az = userAcceleration (g, gravity removed)
# gx/gy/gz = gyroscope (rad/s)
# gvX/gvY/gvZ = gravity vector (g)
# baro = barometric pressure (hPa)
# baseBaro = rolling baseline pressure (hPa)
# spd = GPS speed (m/s)
# lowG = consecutive low-g sample count
# -----------------------
idx,t,ax,ay,az,aM,gx,gy,gz,gM,gvX,gvY,gvZ,baro,baseBaro,spd,lowG,state,evt
27,0.520,0.058,-0.022,-0.178,0.189,-0.044,0.015,-0.023,0.051,0.007,0.003,-0.987,1013.29,1013.25,8.72,0,RIDING,
28,0.540,0.053,0.036,-0.167,0.179,0.045,0.065,-0.015,0.081,-0.018,0.005,-0.976,1013.23,1013.25,9.08,0,RIDING,
29,0.560,-0.074,0.055,0.151,0.177,-0.006,0.028,0.045,0.053,0.003,0.008,-1.000,1013.20,1013.25,8.47,0,RIDING,
30,0.580,-0.016,-0.081,-0.029,0.088,0.045,0.005,-0.043,0.062,0.011,0.006,-1.026,1013.21,1013.25,9.30,0,RIDING,
31,0.600,0.050,0.038,0.135,0.149,0.021,-0.003,0.026,0.034,0.003,-0.007,-0.987,1013.15,1013.25,8.81,0,RIDING,
32,0.620,0.145,-0.112,-0.053,0.191,0.015,0.009,-0.020,0.026,0.010,-0.012,-1.013,1013.20,1013.25,9.14,0,RIDING,
33,0.640,0.136,0.079,0.146,0.215,0.041,-0.044,0.013,0.061,-0.001,0.005,-1.007,1013.14,1013.25,8.28,0,RIDING,
34,0.660,-0.010,0.037,0.030,0.049,0.032,0.010,-0.016,0.037,-0.008,-0.006,-1.000,1013.29,1013.25,8.51,0,RIDING,
35,0.680,-0.009,0.013,-0.000,0.015,0.009,-0.007,-0.063,0.064,0.004,-0.002,-0.996,1013.27,1013.25,8.82,0,RIDING,
36,0.700,-0.077,-0.152,0.005,0.170,-0.047,0.037,-0.054,0.080,0.016,-0.004,-1.014,1013.12,1013.25,8.19,0,RIDING,
37,0.720,-0.061,0.042,0.040,0.084,0.009,0.074,0.035,0.083,0.017,0.010,-0.990,1013.25,1013.25,8.68,0,RIDING,
38,0.740,-0.087,-0.012,0.058,0.105,-0.015,0.053,0.030,0.063,0.025,0.012,-1.002,1013.30,1013.25,8.44,0,RIDING,
39,0.760,0.007,0.208,-0.027,0.210,0.044,0.049,0.000,0.066,0.004,0.011,-0.992,1013.19,1013.25,8.56,0,RIDING,
40,0.780,0.002,0.068,0.043,0.081,0.010,0.003,-0.012,0.016,-0.006,0.000,-1.015,1013.28,1013.25,8.18,0,RIDING,
41,0.800,-0.035,-0.161,-0.055,0.173,0.028,0.028,-0.003,0.040,0.018,0.005,-0.989,1013.24,1013.25,8.07,0,RIDING,
42,0.820,-0.071,-0.015,-0.146,0.162,0.039,0.047,-0.095,0.113,-0.018,-0.018,-1.011,1013.25,1013.25,8.69,0,RIDING,
43,0.840,-0.050,-0.112,0.003,0.123,0.012,0.032,0.035,0.049,-0.013,-0.005,-1.011,1013.33,1013.25,8.85,0,RIDING,
44,0.860,-0.086,-0.007,0.000,0.086,0.025,-0.079,-0.062,0.104,-0.003,-0.001,-1.008,1013.25,1013.25,8.44,0,RIDING,
45,0.880,0.056,0.028,-0.007,0.063,-0.034,-0.009,-0.136,0.140,-0.015,0.002,-0.999,1013.20,1013.25,8.51,0,RIDING,
46,0.900,-0.110,-0.020,-0.025,0.115,0.023,0.031,-0.002,0.038,-0.001,0.007,-0.997,1013.21,1013.25,8.46,0,RIDING,
47,0.920,-0.058,-0.108,-0.030,0.126,-0.037,-0.056,-0.006,0.067,0.005,-0.004,-0.977,1013.23,1013.25,8.53,0,RIDING,
48,0.940,-0.026,0.088,0.010,0.092,0.056,-0.119,-0.038,0.137,0.023,0.003,-0.987,1013.26,1013.25,8.68,0,RIDING,
49,0.960,0.061,0.076,0.041,0.106,-0.008,0.025,-0.054,0.060,0.002,0.021,-1.002,1013.31,1013.25,8.19,0,RIDING,
50,0.980,0.002,0.093,0.002,0.093,-0.040,0.013,0.029,0.051,0.018,0.017,-1.000,1013.29,1013.25,8.27,0,RIDING,
51,1.000,0.021,-0.034,0.113,0.120,-0.035,0.034,-0.024,0.054,0.013,-0.000,-1.007,1013.22,1013.25,8.72,0,RIDING,
52,1.020,0.065,-0.004,0.025,0.070,0.076,0.057,-0.026,0.098,0.008,-0.006,-1.000,1013.36,1013.25,8.50,0,RIDING,
53,1.040,-0.140,0.143,0.109,0.228,-0.061,-0.075,-0.081,0.126,-0.001,-0.003,-1.001,1013.31,1013.25,8.36,0,RIDING,
54,1.060,-0.087,0.002,-0.115,0.144,-0.004,0.015,0.023,0.028,0.002,-0.005,-0.984,1013.24,1013.25,8.23,0,RIDING,
55,1.080,0.061,-0.009,-0.038,0.073,-0.035,-0.047,-0.018,0.061,0.006,0.021,-1.007,1013.26,1013.25,8.65,0,RIDING,
56,1.100,0.001,0.224,-0.149,0.269,-0.026,0.008,0.008,0.028,0.004,0.001,-0.992,1013.27,1013.25,8.43,0,RIDING,
57,1.120,-0.151,-0.071,-0.000,0.167,-0.052,-0.052,0.031,0.080,0.007,0.003,-0.995,1013.22,1013.25,8.69,0,RIDING,
58,1.140,-0.008,-0.113,-0.002,0.113,0.023,-0.026,-0.005,0.035,0.006,0.019,-1.006,1013.29,1013.25,8.24,0,RIDING,
59,1.160,0.012,-0.012,0.123,0.124,0.016,0.045,-0.035,0.059,-0.018,0.014,-0.991,1013.25,1013.25,8.50,0,RIDING,
60,1.180,-0.140,0.060,-0.010,0.152,0.022,0.018,-0.075,0.080,-0.006,-0.010,-1.014,1013.24,1013.25,8.95,0,RIDING,
61,1.200,-0.098,0.027,0.135,0.169,0.021,0.012,0.112,0.114,0.005,0.005,-1.010,1013.22,1013.25,8.30,0,RIDING,
62,1.220,-0.094,0.023,0.020,0.098,-0.065,-0.010,-0.027,0.071,-0.001,-0.004,-0.989,1013.27,1013.25,8.46,0,RIDING,
63,1.240,0.111,-0.029,0.068,0.134,-0.038,0.004,0.037,0.053,-0.001,0.002,-1.015,1013.33,1013.25,8.39,0,RIDING,
64,1.260,0.001,-0.054,0.030,0.062,-0.056,-0.099,0.002,0.114,0.009,-0.003,-1.006,1013.26,1013.25,8.34,0,RIDING,
65,1.280,0.038,-0.125,-0.054,0.142,-0.001,0.042,-0.008,0.043,0.003,0.017,-1.007,1013.27,1013.25,8.30,0,RIDING,
66,1.300,0.189,-0.052,0.001,0.196,0.009,0.051,-0.062,0.081,0.008,0.006,-0.974,1013.14,1013.25,8.68,0,RIDING,
67,1.320,0.016,0.020,0.074,0.079,0.018,0.083,-0.062,0.105,0.008,-0.004,-0.991,1013.23,1013.25,7.47,0,RIDING,
68,1.340,0.172,-0.000,-0.020,0.174,-0.025,-0.042,-0.032,0.058,0.001,-0.002,-0.991,1013.28,1013.25,8.51,0,RIDING,
69,1.360,0.040,-0.011,0.053,0.067,-0.008,-0.058,0.073,0.093,0.011,0.003,-1.016,1013.27,1013.25,8.21,0,RIDING,
70,1.380,0.129,0.027,0.071,0.150,0.010,-0.007,-0.077,0.078,-0.003,0.004,-0.999,1013.30,1013.25,8.51,0,RIDING,
71,1.400,0.054,-0.030,-0.003,0.062,-0.107,-0.021,0.034,0.114,-0.001,0.016,-1.003,1013.32,1013.25,8.39,0,RIDING,
72,1.420,0.059,0.134,0.003,0.147,0.061,-0.036,0.010,0.072,0.011,0.024,-1.007,1013.25,1013.25,8.53,0,RIDING,
73,1.440,-0.046,0.040,-0.084,0.104,0.025,0.029,-0.014,0.040,0.008,-0.015,-1.007,1013.28,1013.25,8.04,0,RIDING,
74,1.460,-0.044,-0.032,0.069,0.088,0.004,-0.020,0.027,0.034,0.004,0.012,-0.997,1013.33,1013.25,8.50,0,RIDING,
75,1.480,-0.103,0.199,0.177,0.285,-0.099,-0.002,0.021,0.101,-0.003,-0.011,-0.999,1013.30,1013.25,8.70,0,RIDING,
76,1.500,0.083,-0.087,-0.082,0.146,-0.001,-0.097,-0.013,0.098,-0.007,-0.009,-1.004,1013.23,1013.25,8.64,0,RIDING,
77,1.520,-0.004,-0.053,0.001,0.053,0.038,0.059,0.085,0.110,-0.025,0.019,-1.007,1013.21,1013.25,8.37,0,RIDING,
78,1.540,-0.003,0.042,-0.109,0.116,0.023,-0.001,-0.091,0.094,-0.019,0.008,-0.998,1013.26,1013.25,8.86,0,RIDING,
79,1.560,0.038,0.035,0.104,0.116,-0.011,0.044,-0.020,0.050,-0.001,0.017,-0.996,1013.29,1013.25,8.26,0,RIDING,
80,1.580,-0.013,-0.092,-0.063,0.112,0.010,0.047,0.021,0.052,0.014,-0.004,-1.005,1013.28,1013.25,8.49,0,RIDING,
81,1.600,0.071,0.005,-0.022,0.075,-0.029,-0.013,0.031,0.044,0.004,0.002,-1.010,1013.27,1013.25,8.14,0,RIDING,
82,1.620,0.062,-0.022,-0.027,0.071,0.040,0.066,-0.034,0.084,0.023,-0.005,-0.988,1013.27,1013.25,8.24,0,RIDING,
83,1.640,-0.052,0.065,0.178,0.196,-0.127,-0.022,0.025,0.131,0.022,0.001,-1.016,1013.25,1013.25,8.30,0,RIDING,
84,1.660,0.068,-0.138,0.092,0.179,-0.029,0.007,0.063,0.070,-0.017,0.012,-0.993,1013.26,1013.25,8.08,0,RIDING,
85,1.680,-0.065,0.069,0.040,0.103,0.032,-0.113,-0.015,0.118,0.009,-0.025,-0.998,1013.30,1013.25,8.72,0,RIDING,
86,1.700,0.039,0.204,-0.076,0.221,-0.016,0.002,0.044,0.047,-0.008,0.003,-1.005,1013.23,1013.25,8.84,0,RIDING,
87,1.720,0.013,-0.055,-0.128,0.140,0.055,0.015,-0.028,0.063,-0.010,-0.001,-0.995,1013.26,1013.25,8.80,0,RIDING,
88,1.740,0.042,-0.027,-0.169,0.176,0.062,0.016,0.001,0.064,-0.004,-0.010,-1.007,1013.24,1013.25,8.58,0,RIDING,
89,1.760,-0.048,-0.049,-0.093,0.115,0.032,-0.065,0.033,0.080,0.014,0.002,-1.007,1013.20,1013.25,8.61,0,RIDING,
90,1.780,0.004,0.012,-0.139,0.139,-0.030,0.008,-0.023,0.039,0.008,0.009,-0.994,1013.25,1013.25,8.72,0,RIDING,
91,1.800,-0.023,-0.001,-0.022,0.032,-0.016,-0.009,-0.086,0.088,-0.010,-0.000,-0.995,1013.23,1013.25,8.49,0,RIDING,
92,1.820,-0.013,0.166,-0.209,0.267,-0.010,-0.091,0.049,0.104,0.001,0.005,-1.003,1013.38,1013.25,7.75,0,RIDING,
93,1.840,0.044,-0.179,0.068,0.197,0.019,0.001,-0.029,0.035,0.002,-0.005,-1.022,1013.28,1013.25,8.35,0,RIDING,
94,1.860,-0.003,0.016,0.060,0.063,-0.044,-0.002,0.031,0.054,0.020,-0.009,-1.019,1013.26,1013.25,8.87,0,RIDING,
95,1.880,0.069,0.122,0.074,0.158,0.041,-0.031,-0.036,0.062,-0.018,-0.010,-0.975,1013.29,1013.25,8.23,0,RIDING,
96,1.900,0.154,-0.055,-0.058,0.173,0.012,-0.037,0.066,0.076,0.013,-0.006,-0.998,1013.25,1013.25,8.17,0,RIDING,
97,1.920,-0.001,-0.025,0.026,0.036,-0.035,-0.092,-0.110,0.148,-0.000,0.001,-0.994,1013.19,1013.25,8.27,0,RIDING,
98,1.940,0.010,-0.063,-0.057,0.086,-0.106,-0.008,0.024,0.109,-0.002,0.009,-1.000,1013.28,1013.25,8.46,0,RIDING,
99,1.960,0.059,0.047,0.017,0.077,0.065,-0.029,-0.018,0.074,0.016,0.018,-1.000,1013.21,1013.25,8.26,0,RIDING,
100,1.980,0.045,0.094,0.065,0.123,0.060,-0.063,-0.032,0.093,0.001,-0.009,-1.004,1013.27,1013.25,8.93,0,RIDING,
101,2.000,-0.053,-0.069,0.120,0.148,-0.031,0.001,0.108,0.113,-0.006,0.004,-0.984,1013.31,1013.25,8.60,0,RIDING,
102,2.020,0.050,0.101,0.008,0.113,0.026,-0.010,0.021,0.035,-0.001,0.002,-1.006,1013.32,1013.25,8.07,0,RIDING,
103,2.040,-0.025,0.063,0.160,0.174,0.031,0.016,-0.078,0.085,-0.000,-0.011,-1.001,1013.35,1013.25,8.52,0,RIDING,
104,2.060,-0.088,0.006,0.037,0.095,0.002,0.014,-0.043,0.045,-0.018,-0.002,-1.008,1013.32,1013.25,8.30,0,RIDING,
105,2.080,-0.081,-0.028,0.023,0.089,-0.059,-0.007,0.071,0.093,0.001,-0.001,-1.000,1013.28,1013.25,8.45,0,RIDING,
106,2.100,0.059,-0.007,-0.192,0.201,-0.001,-0.044,0.033,0.055,0.022,-0.010,-1.011,1013.22,1013.25,8.54,0,RIDING,
107,2.120,-0.113,-0.192,-0.150,0.268,0.018,-0.032,-0.093,0.100,-0.008,-0.004,-0.997,1013.18,1013.25,8.69,0,RIDING,
108,2.140,0.109,0.155,0.083,0.207,0.007,0.009,0.090,0.091,0.005,0.003,-0.999,1013.32,1013.25,8.41,0,RIDING,
109,2.160,-0.040,-0.106,-0.043,0.121,-0.077,0.061,0.027,0.102,0.009,-0.019,-0.982,1013.19,1013.25,8.92,0,RIDING,
110,2.180,0.065,0.165,-0.098,0.203,0.027,0.021,0.010,0.035,-0.015,-0.012,-1.014,1013.26,1013.25,8.82,0,RIDING,
111,2.200,-0.045,-0.048,0.029,0.072,0.013,0.002,-0.034,0.036,0.008,0.001,-1.003,1013.23,1013.25,8.79,0,RIDING,
112,2.220,0.124,-0.048,0.052,0.143,0.058,-0.013,0.041,0.072,0.002,-0.016,-0.993,1013.19,1013.25,8.80,0,RIDING,
113,2.240,-0.071,0.103,-0.054,0.136,-0.008,0.014,-0.017,0.023,0.007,0.000,-0.998,1013.26,1013.25,8.33,0,RIDING,
114,2.260,-0.220,0.093,0.003,0.239,-0.089,0.005,0.023,0.092,0.015,-0.002,-0.976,1013.30,1013.25,8.18,0,RIDING,
115,2.280,-0.012,0.054,-0.029,0.063,-0.056,0.055,0.045,0.090,-0.006,-0.017,-1.007,1013.33,1013.25,8.76,0,RIDING,
116,2.300,-0.054,-0.065,0.047,0.097,0.016,-0.013,0.009,0.023,0.008,0.010,-1.007,1013.24,1013.25,8.56,0,RIDING,
117,2.320,-0.121,0.114,0.009,0.166,0.055,-0.082,-0.016,0.100,-0.005,0.007,-0.989,1013.25,1013.25,8.07,0,RIDING,
118,2.340,0.128,-0.069,-0.112,0.183,0.026,0.047,0.010,0.055,0.008,0.006,-1.005,1013.18,1013.25,8.73,0,RIDING,
119,2.360,0.024,0.063,-0.045,0.081,-0.092,0.016,0.024,0.097,-0.006,-0.001,-1.003,1013.25,1013.25,8.77,0,RIDING,
120,2.380,0.046,0.128,-0.020,0.137,0.103,0.076,0.040,0.134,-0.002,-0.001,-1.011,1013.28,1013.25,9.03,0,RIDING,
121,2.400,0.038,0.108,0.043,0.122,0.021,-0.010,0.008,0.025,-0.004,-0.011,-1.008,1013.18,1013.25,8.81,0,RIDING,
122,2.420,-0.066,0.068,0.085,0.127,-0.068,0.046,0.044,0.093,-0.007,-0.006,-0.997,1013.22,1013.25,8.05,0,RIDING,
123,2.440,-0.029,-0.162,0.019,0.166,-0.077,0.045,-0.060,0.108,-0.005,0.013,-0.991,1013.22,1013.25,8.24,0,RIDING,
124,2.460,0.048,0.026,-0.124,0.135,-0.026,-0.028,-0.049,0.062,-0.007,-0.010,-1.021,1013.28,1013.25,8.28,0,RIDING,
125,2.480,0.048,0.106,0.014,0.117,-0.049,-0.135,0.009,0.144,0.009,0.015,-0.989,1013.31,1013.25,8.59,0,RIDING,
126,2.500,-0.035,0.084,0.062,0.110,-0.077,-0.020,-0.071,0.107,-0.011,-0.021,-0.987,1013.24,1013.25,8.67,0,RIDING,
127,2.520,0.030,0.118,-0.106,0.161,0.053,0.104,0.100,0.154,-0.002,0.010,-0.990,1013.24,1013.25,8.58,0,RIDING,
128,2.540,0.007,-0.109,0.059,0.124,-0.023,0.031,0.013,0.041,-0.005,0.003,-0.982,1013.33,1013.25,8.84,0,RIDING,
129,2.560,-0.043,0.035,0.095,0.110,0.063,0.026,-0.066,0.095,0.004,0.025,-1.009,1013.19,1013.25,8.57,0,RIDING,
130,2.580,0.091,0.062,-0.134,0.173,-0.041,0.008,-0.025,0.048,-0.008,0.005,-1.006,1013.24,1013.25,8.64,0,RIDING,
131,2.600,-0.044,0.043,-0.046,0.076,0.014,0.080,0.001,0.081,-0.004,0.011,-1.013,1013.24,1013.25,8.72,0,RIDING,
132,2.620,0.049,-0.041,-0.064,0.091,0.088,-0.043,0.088,0.132,-0.010,0.012,-0.985,1013.28,1013.25,8.94,0,RIDING,
133,2.640,-0.009,-0.010,0.196,0.197,0.009,-0.021,-0.031,0.039,0.002,0.017,-1.003,1013.27,1013.25,8.60,0,RIDING,
134,2.660,0.038,0.117,-0.080,0.147,0.052,0.092,-0.068,0.125,-0.018,0.005,-1.019,1013.20,1013.25,8.19,0,RIDING,
135,2.680,0.040,0.116,-0.129,0.178,-0.016,-0.096,0.039,0.105,0.001,0.005,-1.003,1013.21,1013.25,8.42,0,RIDING,
136,2.700,0.001,-0.044,0.009,0.045,-0.059,0.003,-0.097,0.113,0.001,-0.013,-0.997,1013.23,1013.25,9.07,0,RIDING,
137,2.720,-0.078,-0.132,-0.059,0.164,0.037,0.019,-0.005,0.042,0.013,0.002,-1.010,1013.20,1013.25,8.18,0,RIDING,
138,2.740,-0.169,-0.110,0.198,0.282,-0.057,-0.004,0.011,0.059,-0.014,-0.011,-0.983,1013.24,1013.25,8.42,0,RIDING,
139,2.760,-0.061,0.068,-0.136,0.163,-0.014,0.013,0.052,0.055,0.004,-0.007,-0.995,1013.19,1013.25,8.68,0,RIDING,
140,2.780,-0.072,-0.064,-0.002,0.096,-0.136,-0.005,-0.050,0.145,0.008,-0.004,-0.987,1013.18,1013.25,8.37,0,RIDING,
141,2.800,-0.093,-0.105,0.124,0.187,0.020,0.047,-0.041,0.066,0.006,0.000,-0.988,1013.29,1013.25,8.58,0,RIDING,
142,2.820,-0.052,-0.077,-0.118,0.150,0.058,-0.037,-0.052,0.086,-0.013,-0.003,-1.006,1013.20,1013.25,8.37,0,RIDING,
143,2.840,-0.044,-0.077,0.003,0.089,-0.023,0.006,0.012,0.027,-0.005,-0.008,-0.992,1013.27,1013.25,7.84,0,RIDING,
144,2.860,-0.126,-0.057,-0.024,0.141,-0.017,0.050,-0.022,0.057,-0.018,0.012,-0.996,1013.30,1013.25,8.06,0,RIDING,
145,2.880,0.039,0.010,0.039,0.056,-0.061,0.047,-0.027,0.082,-0.020,-0.013,-0.989,1013.30,1013.25,8.53,0,RIDING,
146,2.900,-0.011,-0.032,0.019,0.039,-0.021,-0.027,0.005,0.035,0.000,0.019,-0.982,1013.26,1013.25,8.96,0,RIDING,
147,2.920,0.137,0.085,0.010,0.162,0.007,-0.007,-0.037,0.038,0.016,0.005,-1.004,1013.25,1013.25,8.31,0,RIDING,
148,2.940,-0.153,-0.004,-0.033,0.157,-0.054,-0.057,-0.113,0.137,0.026,-0.000,-1.001,1013.28,1013.25,8.48,0,RIDING,
149,2.960,0.116,0.011,0.013,0.117,-0.019,-0.030,0.075,0.083,-0.003,0.000,-1.009,1013.30,1013.25,9.01,0,RIDING,
150,2.980,0.077,-0.111,0.045,0.143,0.055,0.071,-0.047,0.101,-0.008,-0.013,-0.988,1013.30,1013.25,8.29,0,RIDING,
151,3.000,0.132,-0.048,-0.061,0.153,-0.017,0.125,0.050,0.136,-0.007,0.012,-0.981,1013.22,1013.25,7.96,0,RIDING,
152,3.020,-0.021,-0.055,-0.041,0.072,-0.094,0.045,-0.054,0.118,-0.013,0.003,-1.008,1013.30,1013.25,7.99,0,RIDING,
153,3.040,0.063,0.001,-0.094,0.113,0.031,0.042,-0.096,0.109,0.008,-0.019,-1.007,1013.34,1013.25,8.65,0,RIDING,
154,3.060,-0.028,0.086,-0.117,0.148,-0.044,-0.101,-0.012,0.111,-0.006,0.005,-0.984,1013.27,1013.25,7.99,0,RIDING,
155,3.080,0.053,-0.024,-0.094,0.111,-0.047,-0.033,0.007,0.058,0.003,-0.011,-0.985,1013.25,1013.25,9.00,0,RIDING,
156,3.100,0.076,0.008,-0.058,0.096,-0.094,-0.051,0.046,0.116,0.002,0.002,-0.994,1013.21,1013.25,8.10,0,RIDING,
157,3.120,0.052,0.113,-0.067,0.141,0.049,-0.049,0.035,0.078,0.010,-0.000,-0.989,1013.26,1013.25,8.57,0,RIDING,
158,3.140,0.070,0.011,-0.045,0.084,-0.038,-0.026,-0.010,0.047,0.006,0.008,-1.009,1013.25,1013.25,9.39,0,RIDING,
159,3.160,-0.057,-0.026,0.015,0.064,-0.052,0.081,-0.028,0.100,-0.000,0.003,-0.998,1013.30,1013.25,7.80,0,RIDING,
160,3.180,0.048,0.022,0.013,0.055,-0.095,-0.036,-0.117,0.155,-0.002,-0.008,-1.006,1013.28,1013.25,8.59,0,RIDING,
161,3.200,0.148,0.138,-0.005,0.202,0.064,-0.079,-0.097,0.141,-0.006,0.002,-0.970,1013.23,1013.25,8.24,0,RIDING,
162,3.220,-0.053,0.004,0.022,0.057,-0.002,0.047,0.089,0.100,-0.003,0.004,-1.015,1013.19,1013.25,8.55,0,RIDING,
163,3.240,-0.141,-0.185,0.042,0.236,0.010,0.004,-0.118,0.119,-0.014,-0.009,-0.993,1013.23,1013.25,8.27,0,RIDING,
164,3.260,0.044,-0.002,0.041,0.060,-0.030,0.004,0.002,0.030,-0.001,-0.001,-1.006,1013.28,1013.25,8.48,0,RIDING,
165,3.280,0.179,0.041,0.034,0.187,0.115,0.070,-0.078,0.155,0.019,0.013,-0.992,1013.28,1013.25,8.75,0,RIDING,
166,3.300,-0.094,-0.070,0.022,0.119,0.025,-0.051,-0.019,0.060,0.003,-0.003,-1.012,1013.23,1013.25,8.52,0,RIDING,
167,3.320,0.099,0.128,-0.008,0.162,0.051,0.022,0.033,0.065,0.006,0.010,-1.009,1013.27,1013.25,8.27,0,RIDING,
168,3.340,0.157,0.167,0.146,0.272,0.099,0.037,-0.017,0.108,0.001,-0.000,-0.993,1013.22,1013.25,8.26,0,RIDING,
169,3.360,-0.162,0.185,0.182,0.306,-0.001,0.034,0.024,0.041,-0.001,-0.008,-0.998,1013.26,1013.25,8.44,0,RIDING,
170,3.380,-0.002,0.026,-0.068,0.073,0.002,0.002,0.030,0.030,0.010,0.006,-1.004,1013.20,1013.25,8.63,0,RIDING,
171,3.400,-0.039,-0.019,0.058,0.073,0.078,-0.008,-0.032,0.084,-0.009,-0.007,-1.001,1013.27,1013.25,8.56,0,RIDING,
172,3.420,0.054,-0.095,-0.081,0.137,0.025,-0.061,0.005,0.066,-0.010,-0.001,-1.003,1013.27,1013.25,8.47,0,RIDING,
